Rank,EIN,Name,City,State,ZIP,Predicted_Category,Composite_Score,Classification_Confidence,Health_Keywords,Nutrition_Keywords,Safety_Keywords,Education_Keywords,Financial_Score,Geographic_Score,Foundation_Score,Activity_Score,Assets,Revenue,Foundation_Code,Activity_Code,Export_Date,Classification_Version
11,237148218,ASSOCIATION FOR HEALTHCARE PHILANTHROPY,ARLINGTON,VA,22202-3979,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,7390454.0,6031632.0,00,200000000,2025-08-05 20:15:44,1.0.0
12,362900465,FOOD MARKETPLACE INC,ARLINGTON,VA,22202-3537,nutrition,0.765,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.6,1.0,82302168.0,39817971.0,00,200000000,2025-08-05 20:15:44,1.0.0
13,363836229,SOCIETY OF NEUROINTERVENTIONAL SURGERY,FAIRFAX,VA,22033-3822,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,7580886.0,5863581.0,00,123000000,2025-08-05 20:15:44,1.0.0
14,521833559,ASSOCIATION FOR CONVULSIVE THERAPY INC,WOODBRIDGE,VA,22193-3170,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,514130.0,342640.0,00,205000000,2025-08-05 20:15:44,1.0.0
15,540299956,MEDICAL SOCIETY OF VIRGINIA,RICHMOND,VA,23294-3746,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,10581770.0,4912795.0,00,205279000,2025-08-05 20:15:44,1.0.0
16,540536002,AMERICAN MEDICAL GROUP ASSOCIATION INC,ALEXANDRIA,VA,22314-3354,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,20357430.0,18416577.0,00,059179000,2025-08-05 20:15:44,1.0.0
17,540540102,VIRGINIA EDUCATION ASSOCIATION INC,RICHMOND,VA,23229-5108,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,21777494.0,14390591.0,00,261120000,2025-08-05 20:15:44,1.0.0
18,540614554,FAIRFAX EDUCATION ASSOCIATION,FAIRFAX,VA,22030-0000,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,4085288.0,1085169.0,00,261120000,2025-08-05 20:15:44,1.0.0
19,540633921,ARLINGTON EDUCATION ASSOCIATION,FALLS CHURCH,VA,22041-2888,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,732617.0,362638.0,00,205000000,2025-08-05 20:15:44,1.0.0
20,840445578,SCHOOL NUTRITION ASSOCIATION INC,ARLINGTON,VA,22206-2281,nutrition,0.765,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.6,1.0,21161049.0,19606297.0,00,059000000,2025-08-05 20:15:44,1.0.0
21,541141295,ATLANTIC VOLUNTEER FIRE AND RESCUE COMPANY INCORPORATED,ATLANTIC,VA,23303-0207,safety,0.76,0.4,0.0,0.0,0.4,0.0,1.0,1.0,0.8,1.0,821441.0,265682.0,15,158000000,2025-08-05 20:15:44,1.0.0
22,546052951,VIRGINIA HEALTH CARE ASSOCIATION,RICHMOND,VA,23227-4358,health,0.7533,0.6667,0.6667,0.0,0.0,0.0,1.0,1.0,0.6,0.3,7025615.0,4052902.0,00,920000000,2025-08-05 20:15:44,1.0.0
23,136220387,SAFETY SYSTEMS FOUNDATION,FALLS CHURCH,VA,22042-2045,safety,0.75,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,704381.0,268860.0,04,161180602,2025-08-05 20:15:44,1.0.0
24,510186144,METROPOLITAN HEALTH FOUNDATION INC,N CHESTERFLD,VA,23236-3473,health,0.75,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1540984.0,660931.0,04,150000000,2025-08-05 20:15:44,1.0.0
25,510201345,WILLIAMS SCHOOL,NORFOLK,VA,23507-2209,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,7078935.0,4138463.0,11,031000000,2025-08-05 20:15:44,1.0.0
