Rank,EIN,Name,City,State,ZIP,Predicted_Category,Composite_Score,Classification_Confidence,Health_Keywords,Nutrition_Keywords,Safety_Keywords,Education_Keywords,Financial_Score,Geographic_Score,Foundation_Score,Activity_Score,Assets,Revenue,Foundation_Code,Activity_Code,Export_Date,Classification_Version
12,362900465,FOOD MARKETPLACE INC,ARLINGTON,VA,22202-3537,nutrition,0.765,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.6,1.0,82302168.0,39817971.0,00,200000000,2025-08-05 20:15:25,1.0.0
13,363836229,SOCIETY OF NEUROINTERVENTIONAL SURGERY,FAIRFAX,VA,22033-3822,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,7580886.0,5863581.0,00,123000000,2025-08-05 20:15:25,1.0.0
14,521833559,ASSOCIATION FOR CONVULSIVE THERAPY INC,WOODBRIDGE,VA,22193-3170,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,514130.0,342640.0,00,205000000,2025-08-05 20:15:25,1.0.0
15,540299956,MEDICAL SOCIETY OF VIRGINIA,RICHMOND,VA,23294-3746,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,10581770.0,4912795.0,00,205279000,2025-08-05 20:15:25,1.0.0
16,540536002,AMERICAN MEDICAL GROUP ASSOCIATION INC,ALEXANDRIA,VA,22314-3354,health,0.765,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.6,1.0,20357430.0,18416577.0,00,059179000,2025-08-05 20:15:25,1.0.0
17,540540102,VIRGINIA EDUCATION ASSOCIATION INC,RICHMOND,VA,23229-5108,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,21777494.0,14390591.0,00,261120000,2025-08-05 20:15:25,1.0.0
18,540614554,FAIRFAX EDUCATION ASSOCIATION,FAIRFAX,VA,22030-0000,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,4085288.0,1085169.0,00,261120000,2025-08-05 20:15:25,1.0.0
19,540633921,ARLINGTON EDUCATION ASSOCIATION,FALLS CHURCH,VA,22041-2888,education,0.765,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.6,1.0,732617.0,362638.0,00,205000000,2025-08-05 20:15:25,1.0.0
20,840445578,SCHOOL NUTRITION ASSOCIATION INC,ARLINGTON,VA,22206-2281,nutrition,0.765,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.6,1.0,21161049.0,19606297.0,00,059000000,2025-08-05 20:15:25,1.0.0
21,541141295,ATLANTIC VOLUNTEER FIRE AND RESCUE COMPANY INCORPORATED,ATLANTIC,VA,23303-0207,safety,0.76,0.4,0.0,0.0,0.4,0.0,1.0,1.0,0.8,1.0,821441.0,265682.0,15,158000000,2025-08-05 20:15:25,1.0.0
22,546052951,VIRGINIA HEALTH CARE ASSOCIATION,RICHMOND,VA,23227-4358,health,0.7533,0.6667,0.6667,0.0,0.0,0.0,1.0,1.0,0.6,0.3,7025615.0,4052902.0,00,920000000,2025-08-05 20:15:25,1.0.0
23,136220387,SAFETY SYSTEMS FOUNDATION,FALLS CHURCH,VA,22042-2045,safety,0.75,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,704381.0,268860.0,04,161180602,2025-08-05 20:15:25,1.0.0
24,510186144,METROPOLITAN HEALTH FOUNDATION INC,N CHESTERFLD,VA,23236-3473,health,0.75,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1540984.0,660931.0,04,150000000,2025-08-05 20:15:25,1.0.0
25,510201345,WILLIAMS SCHOOL,NORFOLK,VA,23507-2209,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,7078935.0,4138463.0,11,031000000,2025-08-05 20:15:25,1.0.0
26,540914765,STEWARD SCHOOL CORPORATION,RICHMOND,VA,23238-3423,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,30312864.0,29546967.0,11,046030000,2025-08-05 20:15:25,1.0.0
27,541055578,PINECREST SCHOOL INC,ANNANDALE,VA,22003-2574,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,5923012.0,1897547.0,11,046030032,2025-08-05 20:15:25,1.0.0
28,541115179,CONGRESSIONAL SCHOOL INC,FALLS CHURCH,VA,22042-4311,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,27452389.0,21898585.0,11,030000000,2025-08-05 20:15:25,1.0.0
29,541642754,CHESAPEAKE CARE INC,CHESAPEAKE,VA,23320-4426,health,0.75,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0,2398895.0,984847.0,12,154000000,2025-08-05 20:15:25,1.0.0
30,541673028,RURAL EDUCATION FOUNDATION,FARMVILLE,VA,23901-0328,education,0.75,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,10543203.0,6385840.0,11,030046059,2025-08-05 20:15:25,1.0.0
31,208720291,PROGRESSNOW EDUCATION,RICHMOND,VA,23235-4750,education,0.745,0.5,0.0,0.0,0.0,0.5,0.8,1.0,0.8,1.0,2177031.0,2835174.0,15,000000000,2025-08-05 20:15:25,1.0.0
32,540927792,HEALTH BRIGADE,RICHMOND,VA,23230-4911,health,0.745,0.5,0.5,0.0,0.0,0.0,0.8,1.0,0.8,1.0,2190934.0,5037530.0,16,179000000,2025-08-05 20:15:25,1.0.0
33,541590419,SACRED HEART CENTER INC,RICHMOND,VA,23224-2058,health,0.745,0.5,0.5,0.0,0.0,0.0,0.8,1.0,0.8,1.0,1300676.0,2272182.0,15,001030150,2025-08-05 20:15:25,1.0.0
34,910880684,STUDENT CONSERVATION ASSOCIATION INC,ARLINGTON,VA,22201-2594,education,0.745,0.5,0.0,0.0,0.0,0.5,0.8,1.0,0.8,1.0,26933370.0,49670705.0,15,350059000,2025-08-05 20:15:25,1.0.0
35,131614906,MENTAL HEALTH AMERICA INC,ALEXANDRIA,VA,22314-1565,health,0.7367,0.3333,0.3333,0.0,0.0,0.0,1.0,1.0,0.8,1.0,14555457.0,12646314.0,15,161180059,2025-08-05 20:15:25,1.0.0
36,237151484,THE KOREAN AMERICAN SCHOLARSHIP FOUNDATION,TYSONS CORNER,VA,22102-3605,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,5889198.0,767938.0,15,059040561,2025-08-05 20:15:25,1.0.0
37,237287414,SALEM RESCUE SQUAD INC,SALEM,VA,24153-0291,safety,0.7367,0.3333,0.0,0.0,0.3333,0.0,1.0,1.0,0.8,1.0,1658092.0,397402.0,15,158000000,2025-08-05 20:15:25,1.0.0
38,521330462,VSGA-VIP SCHOLARSHIP FOUNDATION,MIDLOTHIAN,VA,23113-6418,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,3164294.0,1225401.0,15,199000000,2025-08-05 20:15:25,1.0.0
39,526083465,AGC EDUCATION AND RESEARCH FOUNDATION,ARLINGTON,VA,22201-5426,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,13192594.0,2212073.0,15,161180059,2025-08-05 20:15:25,1.0.0
40,540807776,CERTIFIED MEDICAL REPRESENTATIVES INSTITUTE INC,ROANOKE,VA,24014-5300,health,0.7367,0.3333,0.3333,0.0,0.0,0.0,1.0,1.0,0.8,1.0,3738388.0,2720652.0,16,059000000,2025-08-05 20:15:25,1.0.0
41,540848343,HALIFAX COUNTY CANCER ASSOCIATION,HALIFAX,VA,24558-2507,health,0.7367,0.3333,0.3333,0.0,0.0,0.0,1.0,1.0,0.8,1.0,1771170.0,731256.0,15,059179000,2025-08-05 20:15:25,1.0.0
42,541222147,BLUE RIDGE HEALTH CENTER INC,ARRINGTON,VA,22922-2302,health,0.7367,0.3333,0.3333,0.0,0.0,0.0,1.0,1.0,0.8,1.0,17521513.0,14535099.0,15,155000000,2025-08-05 20:15:25,1.0.0
43,541253381,SCRUGGS VOLUNTEER FIRE DEPARTMENT AND RESCUE SQUAD INC,HARDY,VA,24101-0844,safety,0.7367,0.3333,0.0,0.0,0.3333,0.0,1.0,1.0,0.8,1.0,1041364.0,444591.0,15,158407000,2025-08-05 20:15:25,1.0.0
44,541292509,FALLS CHURCH EDUCATION FOUNDATION,FALLS CHURCH,VA,22046-2921,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,2366926.0,660372.0,15,059000000,2025-08-05 20:15:25,1.0.0
45,541506977,NATIONAL INSTITUTE FOR LEARNING DEVELOPMENT INC,SUFFOLK,VA,23435-3755,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,2202196.0,1370232.0,15,000000000,2025-08-05 20:15:25,1.0.0
46,541626757,PORTSMOUTH COMMUNITY HEALTH CENTER INC,PORTSMOUTH,VA,23704-3209,health,0.7367,0.3333,0.3333,0.0,0.0,0.0,1.0,1.0,0.8,1.0,24863380.0,15869949.0,15,150154165,2025-08-05 20:15:25,1.0.0
47,541632197,ANDERSON CLINIC POST-GRADUATE MEDICAL EDUCATION FOUNDATION,ALEXANDRIA,VA,22306-3209,health,0.7367,0.3333,0.3333,0.0,0.0,0.1667,1.0,1.0,0.8,1.0,8454335.0,3489019.0,16,149000000,2025-08-05 20:15:25,1.0.0
48,541656477,THE GOVERNORS SCHOOL FOR THE ARTS FOUNDATION INC,NORFOLK,VA,23510-1812,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,1851010.0,668227.0,15,123000000,2025-08-05 20:15:25,1.0.0
49,546052945,UNIVERSITY OF VIRGINIA ENGINEERING FOUNDATION INC,CHARLOTTESVLE,VA,22904-4256,education,0.7367,0.3333,0.0,0.0,0.0,0.3333,1.0,1.0,0.8,1.0,77274633.0,13572126.0,15,034059561,2025-08-05 20:15:25,1.0.0
50,546070238,GORE VOLUNTEER FIRE COMPANY,GORE,VA,22637-0023,safety,0.7367,0.3333,0.0,0.0,0.3333,0.0,1.0,1.0,0.8,1.0,2895728.0,310095.0,16,158000000,2025-08-05 20:15:25,1.0.0
